id name Rista Advanced
id author Developer
uciok
info string Move b7c6 score -165
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30095
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30090
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30155
